,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
23,2021-06-02,1594.9922792355967,1573.724899329583,1618.7271538698926,1594.9922792355967,1594.9922792355967,1.7718022753788647,1.7718022753788647,1.7718022753788647,1.7718022753788647,1.7718022753788647,1.7718022753788647,0.0,0.0,0.0,1596.7640815109755
24,2021-06-04,1597.0247027815024,1577.0084301798768,1621.4868984412997,1597.0247027815024,1597.0247027815024,0.8627977750279485,0.8627977750279485,0.8627977750279485,0.8627977750279485,0.8627977750279485,0.8627977750279485,0.0,0.0,0.0,1597.8875005565303
25,2021-06-07,1600.0733381003606,1574.7855610878787,1619.2695970472403,1600.0733381003606,1600.0733381003606,-2.2795305251826727,-2.2795305251826727,-2.2795305251826727,-2.2795305251826727,-2.2795305251826727,-2.2795305251826727,0.0,0.0,0.0,1597.7938075751779
26,2021-06-08,1601.0895498733134,1578.318228900442,1622.3105220974414,1601.0895498733134,1601.0895498733134,-0.005258518852712746,-0.005258518852712746,-0.005258518852712746,-0.005258518852712746,-0.005258518852712746,-0.005258518852712746,0.0,0.0,0.0,1601.0842913544607
27,2021-06-09,1602.1057616462665,1581.46173302492,1626.548735380212,1602.1057616462665,1602.1057616462665,1.7718022753782874,1.7718022753782874,1.7718022753782874,1.7718022753782874,1.7718022753782874,1.7718022753782874,0.0,0.0,0.0,1603.8775639216449
28,2021-06-10,1603.121973419219,1582.0020115806744,1627.840456667541,1603.121973419219,1603.121973419219,2.7201524261876124,2.7201524261876124,2.7201524261876124,2.7201524261876124,2.7201524261876124,2.7201524261876124,0.0,0.0,0.0,1605.8421258454068
29,2021-06-11,1604.1381851921722,1581.9426375316955,1626.560799175902,1604.1381851921722,1604.1381851921722,0.8627977750237992,0.8627977750237992,0.8627977750237992,0.8627977750237992,0.8627977750237992,0.8627977750237992,0.0,0.0,0.0,1605.000982967196
30,2021-06-14,1607.1868205110304,1581.0750239584713,1627.3496953793606,1607.1868205110304,1607.1868205110304,-2.2795305251821616,-2.2795305251821616,-2.2795305251821616,-2.2795305251821616,-2.2795305251821616,-2.2795305251821616,0.0,0.0,0.0,1604.9072899858484
31,2021-06-15,1608.2030322839835,1584.703408786761,1631.3993147323451,1608.2030322839835,1608.2030322839835,-0.005258518851412946,-0.005258518851412946,-0.005258518851412946,-0.005258518851412946,-0.005258518851412946,-0.005258518851412946,0.0,0.0,0.0,1608.197773765132
32,2021-06-16,1606.6039325031456,1584.5377278696524,1630.36015076533,1606.6039325031456,1606.6039325031456,1.7718022753777105,1.7718022753777105,1.7718022753777105,1.7718022753777105,1.7718022753777105,1.7718022753777105,0.0,0.0,0.0,1608.3757347785233
33,2021-06-17,1605.004832722308,1584.069804431476,1630.306158301381,1605.004832722308,1605.004832722308,2.7201524261930325,2.7201524261930325,2.7201524261930325,2.7201524261930325,2.7201524261930325,2.7201524261930325,0.0,0.0,0.0,1607.724985148501
34,2021-06-18,1603.4057329414702,1583.2008930031022,1627.2435218392616,1603.4057329414702,1603.4057329414702,0.8627977750325024,0.8627977750325024,0.8627977750325024,0.8627977750325024,0.8627977750325024,0.8627977750325024,0.0,0.0,0.0,1604.2685307165027
35,2021-06-21,1598.6084335989572,1572.9569100088984,1618.9128227490992,1598.6084335989572,1598.6084335989572,-2.279530525181649,-2.279530525181649,-2.279530525181649,-2.279530525181649,-2.279530525181649,-2.279530525181649,0.0,0.0,0.0,1596.3289030737756
36,2021-06-22,1597.0093338181196,1573.1525454760738,1619.5190046453397,1597.0093338181196,1597.0093338181196,-0.005258518857676888,-0.005258518857676888,-0.005258518857676888,-0.005258518857676888,-0.005258518857676888,-0.005258518857676888,0.0,0.0,0.0,1597.0040752992618
37,2021-06-23,1595.4102340372817,1575.6636158314664,1619.8308323171057,1595.4102340372817,1595.4102340372817,1.7718022753824314,1.7718022753824314,1.7718022753824314,1.7718022753824314,1.7718022753824314,1.7718022753824314,0.0,0.0,0.0,1597.1820363126642
