,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3,2021-04-29,1561.4309480079396,1540.509185107692,1586.4444601145656,1561.4309480079396,1561.4309480079396,2.4698771311821925,2.4698771311821925,2.4698771311821925,2.4698771311821925,2.4698771311821925,2.4698771311821925,0.0,0.0,0.0,1563.9008251391217
4,2021-04-30,1562.4192064964345,1538.9331498120087,1585.5281446399722,1562.4192064964345,1562.4192064964345,0.48804829518758736,0.48804829518758736,0.48804829518758736,0.48804829518758736,0.48804829518758736,0.48804829518758736,0.0,0.0,0.0,1562.907254791622
5,2021-05-05,1567.3604989389078,1546.6283057107028,1591.440920850808,1567.3604989389078,1567.3604989389078,1.9758391050336976,1.9758391050336976,1.9758391050336976,1.9758391050336976,1.9758391050336976,1.9758391050336976,0.0,0.0,0.0,1569.3363380439414
6,2021-05-06,1568.3487574274025,1548.5998636285954,1593.6610564315108,1568.3487574274025,1568.3487574274025,2.469877131183489,2.469877131183489,2.469877131183489,2.469877131183489,2.469877131183489,2.469877131183489,0.0,0.0,0.0,1570.818634558586
7,2021-05-07,1569.3370159158972,1547.1517566469115,1593.9599114962218,1569.3370159158972,1569.3370159158972,0.4880482951897578,0.4880482951897578,0.4880482951897578,0.4880482951897578,0.4880482951897578,0.4880482951897578,0.0,0.0,0.0,1569.825064211087
8,2021-05-10,1572.3017913813812,1547.12072983295,1591.9587383778403,1572.3017913813812,1572.3017913813812,-2.407368501280225,-2.407368501280225,-2.407368501280225,-2.407368501280225,-2.407368501280225,-2.407368501280225,0.0,0.0,0.0,1569.894422880101
9,2021-05-11,1573.2904165490627,1551.1831334079782,1598.1104651336834,1573.2904165490627,1573.2904165490627,-0.006799968068118243,-0.006799968068118243,-0.006799968068118243,-0.006799968068118243,-0.006799968068118243,-0.006799968068118243,0.0,0.0,0.0,1573.2836165809945
10,2021-05-12,1574.2790417167441,1554.3349031585108,1598.1371825133908,1574.2790417167441,1574.2790417167441,1.975839105033124,1.975839105033124,1.975839105033124,1.975839105033124,1.975839105033124,1.975839105033124,0.0,0.0,0.0,1576.2548808217773
11,2021-05-13,1575.2676668844256,1555.5192353771913,1599.7910623988607,1575.2676668844256,1575.2676668844256,2.469877131181764,2.469877131181764,2.469877131181764,2.469877131181764,2.469877131181764,2.469877131181764,0.0,0.0,0.0,1577.7375440156075
12,2021-05-14,1576.256292052107,1554.7701282054238,1599.323435912499,1576.256292052107,1576.256292052107,0.48804829518598675,0.48804829518598675,0.48804829518598675,0.48804829518598675,0.48804829518598675,0.48804829518598675,0.0,0.0,0.0,1576.744340347293
13,2021-05-17,1579.2221675551516,1553.6980670532955,1598.4779777928622,1579.2221675551516,1579.2221675551516,-2.4073685012800228,-2.4073685012800228,-2.4073685012800228,-2.4073685012800228,-2.4073685012800228,-2.4073685012800228,0.0,0.0,0.0,1576.8147990538716
14,2021-05-18,1580.210792722833,1557.4488559171327,1602.753469049936,1580.210792722833,1580.210792722833,-0.006799968067916198,-0.006799968067916198,-0.006799968067916198,-0.006799968067916198,-0.006799968067916198,-0.006799968067916198,0.0,0.0,0.0,1580.203992754765
15,2021-05-19,1581.1994178905145,1560.5891706341722,1606.9174679005837,1581.1994178905145,1581.1994178905145,1.9758391050350224,1.9758391050350224,1.9758391050350224,1.9758391050350224,1.9758391050350224,1.9758391050350224,0.0,0.0,0.0,1583.1752569955495
16,2021-05-20,1582.1980019746527,1562.3654454394273,1607.158239790023,1582.1980019746527,1582.1980019746527,2.469877131180039,2.469877131180039,2.469877131180039,2.469877131180039,2.469877131180039,2.469877131180039,0.0,0.0,0.0,1584.6678791058328
17,2021-05-21,1583.196586058791,1559.6260550307825,1606.0739479329848,1583.196586058791,1583.196586058791,0.4880482951933179,0.4880482951933179,0.4880482951933179,0.4880482951933179,0.4880482951933179,0.4880482951933179,0.0,0.0,0.0,1583.6846343539842
18,2021-05-24,1586.1923383112053,1560.529232295821,1605.7232360554146,1586.1923383112053,1586.1923383112053,-2.4073685012795965,-2.4073685012795965,-2.4073685012795965,-2.4073685012795965,-2.4073685012795965,-2.4073685012795965,0.0,0.0,0.0,1583.7849698099258
